GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,CFID,CFPARAMS,PLAYER_NAME
Last 1 MIN <= 5 PTS,2020-21,4,1,3,0.25,2.3433333333333333,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,1,0,0,0,0,0,5,4.2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,Steven Adams
Last 1 MIN <= 5 PTS,2020-21,7,1,6,0.143,3.34,1,2,0.5,0,1,0.0,1,2,0.5,2,1,3,1,0,0,1,0,3,1,3,-1,11.1,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,Bam Adebayo
Last 1 MIN <= 5 PTS,2020-21,6,3,3,0.5,3.62,1,2,0.5,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,2,2,3.2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,LaMarcus Aldridge
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kyle Alexander
Last 1 MIN <= 5 PTS,2020-21,2,0,2,0.0,0.8616666666666667,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,Nickeil Alexander-Walker
Last 1 MIN <= 5 PTS,2020-21,1,0,1,0.0,0.005,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,Grayson Allen
Last 1 MIN <= 5 PTS,2020-21,5,1,4,0.2,3.3983333333333334,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,-2,1.2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,Jarrett Allen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kadeem Allen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Al-Farouq Aminu
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Justin Anderson
Last 1 MIN <= 5 PTS,2020-21,3,1,2,0.333,3.255,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,0,1,0,0,3,3.9,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,Kyle Anderson
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan Anderson
Last 1 MIN <= 5 PTS,2020-21,4,0,4,0.0,1.0233333333333334,0,0,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,0,2,1,1,1,1.0,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,Giannis Antetokounmpo
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kostas Antetokounmpo
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thanasis Antetokounmpo
Last 1 MIN <= 5 PTS,2020-21,4,1,3,0.25,2.2716666666666665,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,Carmelo Anthony
Last 1 MIN <= 5 PTS,2020-21,7,2,5,0.286,3.638333333333333,0,0,0.0,0,0,0.0,2,3,0.667,0,0,0,0,0,0,0,0,1,2,2,-4,2.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,OG Anunoby
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan Arcidiacono
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trevor Ariza
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D.J. Augustin
Last 1 MIN <= 5 PTS,2020-21,8,1,7,0.125,8.798333333333334,1,4,0.25,0,0,0.0,0,0,0.0,4,2,6,0,0,0,0,1,1,0,2,-14,9.2,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,Deandre Ayton
Last 1 MIN <= 5 PTS,2020-21,3,0,3,0.0,0.27166666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,-7,0.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,Dwayne Bacon
Last 1 MIN <= 5 PTS,2020-21,1,0,1,0.0,1.2666666666666666,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-4,0.0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,Marvin Bagley III
Last 1 MIN <= 5 PTS,2020-21,3,1,2,0.333,2.335,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,2,5,3.5,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,Lonzo Ball
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo Bamba
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J.J. Barea
Last 1 MIN <= 5 PTS,2020-21,6,1,5,0.167,5.571666666666666,2,4,0.5,0,0,0.0,0,0,0.0,1,2,3,0,0,1,0,1,2,0,4,1,10.6,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,Harrison Barnes
Last 1 MIN <= 5 PTS,2020-21,6,1,5,0.167,2.3,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,2,0.0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,RJ Barrett
Last 1 MIN <= 5 PTS,2020-21,6,1,5,0.167,5.803333333333334,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,1,0,2,1,0,2,0,2,-6,13.7,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,Will Barton
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keita Bates-Diop
Last 1 MIN <= 5 PTS,2020-21,5,0,5,0.0,4.825,0,1,0.0,0,1,0.0,3,4,0.75,0,0,0,0,0,1,0,0,2,2,3,-3,6.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,Nicolas Batum
Last 1 MIN <= 5 PTS,2020-21,3,0,3,0.0,0.8883333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-4,0.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,Aron Baynes
Last 1 MIN <= 5 PTS,2020-21,3,1,2,0.333,1.9933333333333334,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,1,0,1,0,0,-4,6.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,Kent Bazemore
Last 1 MIN <= 5 PTS,2020-21,6,3,3,0.5,3.691666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,5,1.5,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,Darius Bazley
Last 1 MIN <= 5 PTS,2020-21,6,2,4,0.333,4.1066666666666665,2,7,0.286,1,2,0.5,1,2,0.5,0,1,1,1,0,0,0,0,1,0,6,-8,8.7,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,Bradley Beal
Last 1 MIN <= 5 PTS,2020-21,7,1,6,0.143,5.608333333333333,2,5,0.4,0,2,0.0,0,0,0.0,2,0,2,0,0,0,0,0,1,0,4,4,6.4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,Malik Beasley
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marco Belinelli
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jordan Bell
Last 1 MIN <= 5 PTS,2020-21,2,1,1,0.5,1.5433333333333332,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,DeAndre' Bembry
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dragan Bender
Last 1 MIN <= 5 PTS,2020-21,6,2,4,0.333,3.1933333333333334,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,2,0,0,-12,-1.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,Davis Bertans
Last 1 MIN <= 5 PTS,2020-21,2,0,2,0.0,1.5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,-2,0.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,Patrick Beverley
Last 1 MIN <= 5 PTS,2020-21,3,0,3,0.0,0.7533333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,-8,0.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,Khem Birch
Last 1 MIN <= 5 PTS,2020-21,1,0,1,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,Goga Bitadze
Last 1 MIN <= 5 PTS,2020-21,3,1,2,0.333,0.92,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,Bismack Biyombo
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nemanja Bjelica
Last 1 MIN <= 5 PTS,2020-21,2,1,1,0.5,1.1866666666666668,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,3,3,3.0,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,Eric Bledsoe
Last 1 MIN <= 5 PTS,2020-21,2,0,2,0.0,1.8316666666666668,1,3,0.333,1,3,0.333,0,0,0.0,0,1,1,0,0,0,0,0,0,0,3,-4,4.2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,Bogdan Bogdanovic
Last 1 MIN <= 5 PTS,2020-21,2,1,1,0.5,1.3466666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,Bojan Bogdanovic
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bol Bol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jonah Bolden
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jordan Bone
Last 1 MIN <= 5 PTS,2020-21,1,0,1,0.0,0.31333333333333335,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,-2,1.2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,Isaac Bonga
Last 1 MIN <= 5 PTS,2020-21,6,1,5,0.167,6.1866666666666665,2,10,0.2,1,5,0.2,0,0,0.0,0,0,0,0,0,0,0,0,3,1,5,-11,5.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,Devin Booker
Last 1 MIN <= 5 PTS,2020-21,4,1,3,0.25,1.9266666666666667,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,2,-2,3.2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,Chris Boucher
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brian Bowen II
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ky Bowman
Last 1 MIN <= 5 PTS,2020-21,1,0,1,0.0,0.27666666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,Avery Bradley
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tony Bradley
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jarrell Brantley
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ignas Brazdeikis
Last 1 MIN <= 5 PTS,2020-21,8,1,7,0.125,8.62,1,2,0.5,1,1,1.0,3,4,0.75,1,2,3,1,0,0,0,0,0,2,6,-10,11.1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,Mikal Bridges
Last 1 MIN <= 5 PTS,2020-21,7,2,5,0.286,2.433333333333333,2,2,1.0,2,2,1.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,6,-4,6.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2020-21,Miles Bridges
